Address,Zip Code,Value,SQFT,Price Per SQFT,Number of Bedrooms,Number of Bathrooms,Number of Full Bathrooms,Year Built,Heating,Cooling,Parking,Type,Has Garage,Number of Stories,HOA Fee
404 E 46th St #C4,60653,269900,3000,90,4,4,3,2007,Forced air,Central,Garage - Attached: Covered,Townhouse,null,4,230
1631 S Michigan Ave APT 506,60616,344900,1245,277,2,2,2,1920,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,6,572
1734 N Saint Louis Ave,60647,279900,2710,103,9,3,3,1886,Forced air: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
2014 W Walton St,60622,660000,2600,254,4,3,2,1895,Gas,null,Garage - Detached: None: Covered,Single Family,null,null,null
5527 S University Ave APT 1E,60637,139900,1061,132,2,1,1,1923,Gas,null,None,Condo,No,4,664
3146 N Kilbourn Ave,60641,329900,1000,330,5,3,3,1926,Baseboard: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
3722 W 63rd Pl,60629,189500,1332,142,3,2,2,1962,Forced air: Gas,Central,Garage: None,Single Family,No,null,null
1415 N Dearborn St APT 8A,60610,245000,1300,188,2,2,2,1975,Forced air: Electric,Central,Garage: Garage - Attached: Covered,Condo,null,9,1088
6115 S Archer Ave S #2C,60638,124900,1000,125,2,1,1,1972,Electric,Central,Covered,Condo,null,3,130
6120 W 65th St UNIT 4,60638,269900,1913,141,3,3,2,2005,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,2,75
1301 W 73rd St,60636,150000,1683,89,6,2,2,1927,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
3413 S Prairie Ave,60616,399000,3000,133,4,5,4,1890,Forced air: Gas,Central,Garage: None: Covered,Single Family,null,null,null
1312 E 54th St #1-B,60615,200000,1200,167,2,2,1,1920,null,null,Garage - Detached: Covered,Condo,null,3,600
3240 N Sheffield Ave STE 1,60657,300000,1600,188,4,2,1,1999,Gas,Central,None,Condo,No,4,200
10848 S Bell Ave,60643,525000,3200,164,5,3,2,1911,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
6456 S Sangamon St,60621,179000,3600,50,4,3,2,1940,null,null,Garage - Detached: Covered,Single Family,null,null,null
2853 W Congress Pkwy,60612,229000,1222,187,3,3,2,2020,Gas,Central,Garage - Detached: Covered,Townhouse,null,3,250
3100 N Sheridan Rd APT 1B,60657,299900,1200,250,2,1,1,1923,Other,Wall,Garage: Garage - Detached: Covered,Condo,null,9,863
1 E Scott St #1502-1503,60610,439000,1300,338,1,2,1,1970,Forced air: Electric,Central,Garage - Attached: Covered,Condo,null,9,1205
2911 N Western Ave APT 206,60618,314900,1500,210,2,2,2,1921,Forced air: Gas,Central,Garage: Garage - Attached: Covered,Condo,null,5,405
3651 W Lexington St,60624,350000,null,NaN,5,3,null,1895,Forced air: Gas,null,Covered,Multiple Occupancy,null,null,null
1319 N Wicker Park Ave #2,60622,364900,1100,332,2,2,2,2008,Forced air: Gas,Central,None,Condo,No,3,125
5482 S Ridgewood Ct,60615,675000,3029,223,4,2,1,1898,Gas,null,None,Townhouse,No,3,null
10430 S Wabash Ave,60628,45000,840,54,5,2,1,1915,Gas,null,Garage - Detached: Covered,Single Family,null,null,null
1259 N Wood St APT 105,60622,399900,null,NaN,2,2,1,1909,Forced air: Gas,Central,Garage: Covered,Condo,null,4,298
154 Balderson Dr,43147,384990,2596,148,3,2,2,2020,null,null,Covered,Single Family,null,2,null
5915 W Dakin St,60634,349000,1859,188,3,2,2,1906,Forced air,Central,Garage - Detached: Covered,Single Family,null,null,null
10606 S Parnell Ave,60628,224900,2000,112,4,3,2,1949,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5920 N Northwest Hwy,60631,399900,2800,143,3,5,4,2008,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,4,243
33 E Cedar St APT 14C,60611,155000,800,194,1,1,1,1958,Baseboard,null,None,Condo,No,9,621
1827 W Cuyler Ave,60613,599900,1400,429,5,4,4,1900,Forced air: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
2940 W Wilcox St,60612,219900,1600,137,4,2,1,1890,Forced air: Gas,Central,Covered,Townhouse,null,2,null
6022 S Komensky Ave,60629,419900,3200,131,9,3,3,1964,null,null,null,Multiple Occupancy,No,null,null
350 W Belden Ave APT 305,60614,299000,1130,265,2,2,2,1991,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,7,510
542 W Arlington Pl #E,60614,470000,1400,336,3,2,2,1975,Baseboard: Forced air: Gas,Central,Garage - Detached: Covered,Townhouse,null,3,239
1449 W Harrison St,60607,435000,1880,231,3,3,2,1985,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,3,457
5535 S Kolin Ave,60629,259900,2283,114,4,2,2,1949,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3633 W Lexington St,60624,159900,null,NaN,5,3,3,1900,null,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
3316 N Neenah Ave,60634,362500,2000,181,4,2,2,1928,Forced air: Solar,Central,Garage - Detached: Covered,Single Family,null,null,null
4838 W Roscoe St,60641,279900,1075,260,2,1,1,1923,Forced air,Central,Garage - Detached: Covered,Single Family,null,null,null
1211 N Honore St #B,60622,289900,1300,223,2,2,2,1892,Forced air: Gas,Central,None,Condo,No,3,224
2810 S Karlov Ave,60623,154900,2248,69,3,2,2,1910,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
5132 W Strong St,60630,285000,null,NaN,5,3,3,1978,Baseboard: Forced air: Gas,null,Covered,Multiple Occupancy,null,null,null
1101 S State St #H506,60605,170000,800,213,1,1,1,2005,Gas,Central,Garage - Attached: Covered,Condo,null,9,602
9737 S Hoyne Ave,60643,475000,3900,122,4,3,3,1924,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4654 N Kenmore Ave #GN,60640,215000,1363,158,3,2,1,1927,Forced air: Gas,Central,None,Condo,No,3,217
3900 N Lake Shore Dr APT 13J,60613,149000,630,237,1,1,1,1958,Forced air: Gas,Central: Other,None: Covered,Condo,No,1,604
4443 N Moody Ave,60630,279000,1196,233,4,2,2,1918,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
6920 S South Shore Dr APT 3A,60649,84900,1033,82,2,2,2,1919,Gas,Central,None: Covered,Condo,null,3,275
3524 W Melrose St,60618,499900,1075,465,3,3,3,1900,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
7543 W Forest Preserve Ave,60634,274900,1564,176,4,4,3,1925,Forced air: Gas,Central,Garage: None,Single Family,No,null,null
6728 S Sangamon St,60621,31000,1760,18,3,1,1,1890,Baseboard: Forced air: Heat pump: Other: Radiant: Stove: Wall: Gas: Geothermal,Refrigerator: Central: Evaporative: Geothermal: Solar: Wall,None,Single Family,No,null,null
558 W Armitage Ave #A2,60614,525000,1450,362,2,3,2,1971,Forced air: Gas,Central,Off-street: Covered,Townhouse,null,2,280
5159 N East River Rd #211F,60656,139900,1000,140,2,2,1,1979,Baseboard: Gas,null,Covered,Condo,null,3,301
1705 W Le Moyne St APT B,60622,525000,2100,250,3,3,2,1998,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,3,60
3618 N Lakewood Ave APT F,60613,525000,1700,309,3,2,2,1992,Forced air: Gas,Central,Garage - Detached: Covered,Townhouse,null,3,100
2210 N Central Park Ave,60647,445900,1196,373,3,3,2,1905,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
500 S Clinton St APT 643,60607,264000,1347,196,2,2,2,1898,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,655
2507 N Lotus Ave,60639,259000,2428,107,5,3,3,1920,Other: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
2548 W Haddon Ave,60622,575000,1700,338,4,2,2,1887,Forced air: Gas,Central,Garage - Detached: Off-street: Covered,Single Family,null,null,null
5454 N Lynch Ave,60630,379900,1404,271,3,2,1,1959,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
130 S Canal St APT 714,60606,314000,1260,249,2,2,2,1949,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,1,763
2346 N Geneva Ter #1,60614,395000,1300,304,3,2,2,1911,Other,Refrigerator,None,Condo,No,3,431
824 W 122nd St,60643,144900,1680,86,5,2,2,1957,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1224 W Van Buren St APT 508,60607,279500,1068,262,2,2,1,2006,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,8,577
1415 W Lunt Ave APT 311,60626,159000,1100,145,2,2,1,1965,Forced air: Gas,Other,Garage: Garage - Attached: Covered,Condo,null,4,339
2650 W Belden Ave #106,60647,374900,1306,287,2,2,2,2003,Forced air: Electric,Central,None: Covered,Condo,null,3,348
8549 S Muskegon Ave,60617,129900,null,NaN,6,2,2,1950,null,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
233 E Erie St APT 2105,60611,159888,855,187,1,1,1,1968,Forced air: Gas,Central,Garage - Attached: Covered,Condo,No,9,872
9210 S Elizabeth St,60620,340000,2733,124,5,3,3,1928,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4152 N Saint Louis Ave,60618,320000,1468,218,4,3,3,1900,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5924 N Sauganash Ln,60646,399000,2000,200,3,3,2,1989,Forced air: Gas,Central,Garage - Detached: Covered,Townhouse,null,2,330
8215 W Summerdale Ave,60656,429000,2500,172,3,2,2,1986,Baseboard: Other: Radiant: Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
1701 W 85th St,60620,170000,1128,151,5,2,2,1948,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
9802 S Chappel Ave,60617,103871,1083,96,3,2,1,1940,Gas,Central,Garage: None,Single Family,No,null,null
2654 W Medill Ave APT 106,60647,325000,13400,24,2,1,1,1921,Forced air: Gas,Central,Covered,Condo,null,3,272
1746 N Cleveland Ave APT 2,60614,470000,1400,336,2,2,2,1891,Forced air: Gas,Central,None,Condo,No,3,180
947 E Hyde Park Blvd #G,60615,90000,1000,90,2,1,1,null,Gas,null,None,Condo,No,3,400
8734 S Laflin St,60620,140000,1800,78,5,2,2,1921,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5842 N Marmora Ave,60646,365000,1434,255,3,3,1,1928,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
300 W Grand Ave APT 212,60654,385800,1250,309,2,2,2,1928,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,6,491
3616 W Augusta Blvd #2,60651,87900,900,98,2,1,1,1910,Forced air: Gas,Central,None,Condo,No,2,150
2856 N Francisco Ave,60618,299000,1724,173,3,2,2,1909,Gas,null,Garage: None: Covered,Single Family,null,null,null
9707 S Winchester Ave,60643,365000,3185,115,5,2,2,1949,None: Radiant,Central,Garage - Detached: Covered,Single Family,null,null,null
4315 N Mcvicker Ave,60634,279900,792,353,3,2,1,1928,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1503 S State St APT 313,60605,215000,1000,215,1,2,2,2004,Forced air: Gas,Central,None,Condo,No,8,425
7255 S Yale Ave,60621,99900,3400,29,9,3,3,null,null,null,null,Multiple Occupancy,No,null,null
5836 S Natoma Ave,60638,465000,2020,230,4,4,3,2014,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2743 N Ridgeway Ave,60647,285000,null,NaN,4,2,2,1901,Forced air: Gas,null,Covered,Multiple Occupancy,null,null,null
5467 S Ingleside Ave APT 1E,60615,199999,null,NaN,2,1,1,1920,Other,Refrigerator,None,Condo,No,4,295
4706 N Avers Ave,60625,225000,3125,72,5,0,null,1908,Forced air: Gas,Central,Garage - Detached: None: Covered,Single Family,null,null,null
235 W Van Buren St UNIT 2105,60607,359900,1039,346,2,2,2,2009,Gas,Central,Garage - Attached: Covered,Condo,null,9,419
2243 N Lincoln Ave APT 2B,60614,225000,null,NaN,1,1,1,1974,Forced air: Gas,Central,None,Condo,No,3,185
4918 S Indiana Ave #1N,60615,184900,null,NaN,3,2,2,1900,Forced air: Gas,null,Covered,Condo,null,4,205
2328 N Rockwell St,60647,724500,1000,725,5,3,3,2000,Forced air: Gas,Central,Covered,Multiple Occupancy,null,null,null
6958 N Ottawa Ave,60631,347000,1285,270,3,2,1,1964,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
625 W Jackson Blvd APT 202,60661,229900,826,278,1,1,1,1895,Forced air: Gas,Central,Garage: Garage - Detached: Off-street: Covered,Condo,null,8,440
11140 S Kedzie Ave,60655,144900,970,149,3,1,1,1924,Forced air: Gas,Central,Garage: None,Single Family,No,null,null
1512 N Campbell Ave #1,60622,499900,2320,215,3,3,3,2000,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Condo,null,3,250
3525 N Sheffield Ave #2,60657,469000,1800,261,3,2,2,1899,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Condo,null,2,194
1932 N Honore St,60622,919900,null,NaN,3,3,3,null,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2042 W Moffat St,60647,770000,1594,483,4,3,3,2015,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1122 W Catalpa Ave APT 615,60640,210000,1054,199,2,2,1,2007,Gas,Central,Garage - Attached: Covered,Condo,null,9,604
4706 N Malden St,60640,599000,3696,162,7,5,3,1898,Other,null,Garage - Detached: Covered,Single Family,null,null,null
1222 N Hamlin Ave,60651,84900,1089,78,5,2,2,1884,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
2124 N Hudson Ave APT 402,60614,399900,1100,364,2,2,2,1932,Forced air: Gas,Central,Covered,Condo,null,4,293
1259 N Wood St APT 204,60622,479900,1200,400,3,2,1,1997,Forced air: Gas,Central,Garage: Off-street: Covered,Condo,null,4,312
4459 S Ellis Ave,60653,359000,1948,184,6,5,4,1894,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
6171 N Sheridan Rd APT 1809,60660,100000,850,118,1,1,1,1971,Baseboard,null,Garage - Attached: Covered,Condo,null,9,523
11307 S Wallace St,60628,50000,876,57,2,1,1,1920,Gas,null,Garage - Detached: Covered,Single Family,null,null,null
4718.5 N Beacon St #1N,60640,204900,null,NaN,2,1,1,1932,Forced air: Gas,Central,None,Condo,No,3,null
629 W Sheridan Rd APT 3C,60613,225000,900,250,2,1,1,1920,Forced air: Gas,Central,None: Covered,Condo,null,3,210
2139 W Gladys Ave #1,60612,245000,1200,204,3,2,2,2020,Gas,Central,Covered,Townhouse,null,2,null
4422 N Racine Ave APT 3S,60640,300000,1600,188,3,2,2,1910,Other,Refrigerator,Garage: Covered,Condo,null,3,345
5624 S Melvina Ave,60638,369000,2600,142,5,3,3,1945,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
10605 S Avenue G,60617,140000,1250,112,5,1,1,1918,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
124 W Polk St APT 107,60605,195000,1500,130,1,1,1,1910,Forced air: Electric,Central,None,Condo,No,1,690
5029 N Bernard St,60625,570000,3000,190,5,5,4,1917,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
6701 S Crandon Ave APT 5A,60649,125000,1155,108,2,1,1,1962,Gas,Central,Covered,Condo,null,9,486
222 N Columbus Dr APT 3703,60601,399900,1177,340,2,2,2,2004,Forced air,Central,None,Condo,No,9,925
5812 S Newcastle Ave,60638,314900,1004,314,3,2,2,1956,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3520 W Van Buren St,60624,288000,1200,240,7,2,2,1901,Forced air,null,On-street: Covered,Multiple Occupancy,null,null,null
660 E 51st St #2W,60615,239000,1600,149,3,2,2,1903,Gas,Central,Covered,Condo,null,3,325
5018 S Woodlawn Ave APT 3N,60615,184900,1536,120,4,2,2,1921,null,null,Covered,Condo,null,3,684
1412 W Touhy Ave,60626,549000,2000,275,4,2,1,1893,Forced air: Gas,Central,Garage: Covered,Single Family,null,null,null
3750 N Lake Shore Dr APT 1D,60613,295000,1643,180,2,2,2,1930,Other: Gas,Central,Garage - Attached: Covered,Condo,null,9,1450
5336 N Laramie Ave,60630,339000,1572,216,3,3,3,1924,Forced air: Gas,Central,Garage: Off-street: Covered,Single Family,null,null,null
4800 S Lake Park Ave APT 2412,60615,35000,1175,30,2,1,1,1970,Gas,Central,Garage - Detached,Condo,No,9,1128
500 S Clinton St APT 511,60607,258000,1000,258,2,2,2,1898,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,9,425
6166 N Sheridan Rd APT 8E,60660,149900,1200,125,2,2,1,1970,Forced air,Other,Garage: None: Covered,Condo,null,9,1026
2709 W Altgeld St #1,60647,365000,1375,265,3,2,2,1923,Gas,Central,None,Condo,No,3,266
4124 W Jackson Blvd,60624,149000,null,NaN,5,2,2,1905,Gas,null,None,Multiple Occupancy,No,null,null
3150 W Byron St #1,60618,229000,1200,191,3,2,2,1940,Gas,Central,None,Condo,No,3,259
2739 W Thomas St APT 1,60622,499000,2300,217,3,3,3,2006,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,3,216
7731 S Paulina St,60620,199000,null,NaN,4,2,2,1922,Gas,null,Covered,Multiple Occupancy,null,null,null
3225 W Hirsch St,60651,289900,1026,283,3,1,1,1964,Gas,null,Garage: Covered,Single Family,null,null,null
155 W Burton Pl APT 5,60610,299900,907,331,1,1,1,1917,Baseboard,null,Garage - Detached: Covered,Townhouse,null,3,436
1733 N Troy St,60647,759900,3100,245,4,4,3,2018,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1127 W Wrightwood Ave #1W,60614,649000,2129,305,3,3,3,1998,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,3,234
3840 N Panama Ave,60634,339900,1603,212,6,3,3,1933,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3823 S Wabash Ave APT 1S,60653,314900,2700,117,4,3,3,2005,Forced air: Gas,Central,Covered,Condo,null,6,327
4446 S Prairie Ave,60653,359000,4500,80,6,5,5,1885,Gas,null,None,Single Family,No,null,null
2422 W 35th St,60632,550000,3000,183,3,3,3,2020,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
5858 S Natchez Ave,60638,475000,3018,157,3,2,2,1954,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
4428 S Calumet Ave APT 1,60653,245000,1550,158,3,2,2,2004,Forced air: Gas,Central,Garage: Covered,Condo,null,4,345
817 S Loomis St,60607,439000,2250,195,3,3,2,1971,Forced air: Gas,Central,Garage: None: Covered,Townhouse,null,2,125
4627 N Beacon St UNIT 1B,60640,479000,1400,342,3,2,2,2017,Gas,Central,Garage: Garage - Detached: Covered,Condo,null,3,137
3347 W Monroe St,60624,379900,1896,200,6,3,3,1900,Forced air: Gas,null,Garage - Detached: None: Covered,Multiple Occupancy,null,null,null
3244 W Diversey Ave,60647,499999,null,NaN,5,3,3,1896,Gas,null,Covered,Multiple Occupancy,null,null,null
3306 W 37th Pl,60632,229900,null,NaN,5,3,2,1893,Forced air: Gas,Central,Garage - Detached: Covered,Multiple Occupancy,null,null,null
7628 S Essex Ave #2N,60649,55000,1100,50,3,2,2,1920,Forced air: Gas,Central,Garage: Garage - Detached: Covered,Condo,null,null,180
2954 E 80th Pl,60617,17500,672,26,3,1,1,1893,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
1040 N Central Park Ave,60651,114900,null,NaN,4,2,2,1915,Forced air: Other,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
2021 W Arthur Ave UNIT E1,60645,229900,1600,144,3,2,2,1923,Forced air: Gas,Other,null,Condo,No,null,346
6121 W Newport Ave,60634,379900,2077,183,3,2,2,1926,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
360 W Illinois St APT 2B,60654,899000,2100,428,3,2,2,2000,Forced air: Gas,Central,Garage: Garage - Attached: Covered,Condo,null,8,801
1639 N Sedgwick St,60614,725000,1608,451,3,2,2,1876,Forced air: Gas,Central,Garage: None,Single Family,No,2,null
10310 S Seeley Ave,60643,449999,2058,219,4,3,2,1935,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
2003 W Ohio St,60612,750000,3000,250,4,4,3,1892,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1645 W Ogden Ave UNIT 822,60612,379900,1319,288,3,2,2,1923,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,8,615
5601 N Sheridan Rd APT 19E,60660,169000,1200,141,2,2,2,1968,Forced air,null,Garage - Attached: Covered,Condo,null,9,843
1429 W Rosemont Ave #3W,60660,199900,1500,133,2,1,1,1920,null,null,Garage - Detached: Covered,Condo,null,3,395
10925 S Vernon Ave,60628,169999,1000,170,4,3,null,1917,Forced air: Gas,null,Garage - Detached: Covered,Multiple Occupancy,null,null,null
1821 N Lincoln Park W,60614,2500000,3800,658,4,4,3,1895,Electric,null,Garage - Detached: Covered,Single Family,null,null,null
1945 W Evergreen Ave APT GF,60622,375000,1500,250,3,2,2,1880,Forced air: Gas,Central,Off-street: Covered,Condo,null,3,226
253 E Delaware Pl APT 10E,60611,132000,600,220,0,1,1,1975,Radiant,Wall,Garage - Attached: Covered,Condo,null,9,434
1733 S Ruble St #2,60616,399999,1800,222,3,3,2,2008,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,4,200
1339 W Lunt Ave APT 2M,60626,189000,1352,140,2,2,2,1930,null,null,None,Condo,No,3,533
2342 W North Ave #301,60647,515000,1500,343,3,2,2,2008,Forced air: Gas,Central,Garage - Detached: Covered,Condo,null,4,140
6528 N Bosworth Ave,60626,675000,4713,143,9,3,null,1916,Forced air,None,null,Multiple Occupancy,No,null,null
9742 S Leavitt St,60643,314900,945,333,3,3,2,1954,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
8215 W Catherine Ave,60656,389900,1632,239,3,3,2,1965,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,null
8015 S Princeton Ave,60620,79900,1474,54,4,2,2,1925,Gas,null,Garage: None,Single Family,No,null,null
2840 N Lincoln Ave APT G,60657,399000,1378,290,2,2,2,1999,Forced air: Gas,Central,Garage: Garage - Attached: Covered,Townhouse,null,5,329
21 E Huron St APT 4501,60611,8500000,6000,1417,3,4,3,2004,Forced air: Electric,Central,Garage: Garage - Attached: Covered,Condo,null,9,5591
1314 W 52nd St,60609,95000,1520,63,3,1,1,2007,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,2,null
412 W Wellington Ave,60657,639000,2672,239,3,4,3,1939,Forced air: Gas,Central,Garage: Off-street: Covered,Townhouse,null,2,290
1029 N Honore St,60622,1125000,2800,402,3,4,3,1908,Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3755 N Pine Grove Ave #3,60613,299900,1500,200,2,2,2,1978,Other,Refrigerator,None,Condo,No,3,522
3739 W Ferdinand St,60624,189000,1400,135,4,2,2,1888,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
1617 W Le Moyne St,60622,649000,2136,304,4,4,3,1895,Forced air: Gas,Central,Garage - Detached: Covered,Multiple Occupancy,null,null,null
2707 N Lincoln Ave APT H,60614,650000,1800,361,3,3,3,1996,Forced air: Gas,Central,Garage - Attached: Covered,Townhouse,null,4,250
716 E 90th St,60619,1799001,null,NaN,10,4,4,1910,Forced air: Gas,null,None,Multiple Occupancy,No,null,null
839 E 87th Pl,60619,139900,null,NaN,5,3,3,1921,Forced air: Gas,null,None,Multiple Occupancy,No,null,null
4511 N Lavergne Ave,60630,369000,1278,289,4,1,1,1918,Forced air: Electric: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
55 W Erie St APT 1W,60654,435000,1700,256,3,2,1,1882,Forced air: Gas,Central,None,Condo,No,3,544
2545 S Dearborn St APT 525,60616,350000,1528,229,2,2,2,1909,Forced air: Gas,Central,Garage - Attached: Covered,Condo,null,6,354
1318 S Plymouth Ct,60605,1650000,5000,330,5,4,3,1992,Forced air: Gas,Central,Garage - Attached: Covered,Single Family,null,null,281
825 N Lawler Ave,60651,113000,1400,81,4,1,1,1903,null,null,Garage - Detached: None: Covered,Single Family,null,2,null
1407 N Mohawk St #G,60610,235000,1200,196,1,1,1,1999,Forced air: Gas,Central,None: Covered,Condo,null,4,140
1653 N Menard Ave,60639,349900,2400,146,4,2,2,1925,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
3715 N Cicero Ave,60641,299999,1600,187,4,2,1,1904,Forced air: Gas,null,Garage - Detached: Covered,Single Family,null,null,null
109 W Elm St,60610,849900,2580,329,3,3,3,1884,Forced air: Gas,Central,Garage - Detached: Covered,Single Family,null,null,null
1238 W Carmen Ave APT 3N,60640,129900,472,275,1,1,1,1914,Other,Wall,None,Condo,No,3,186
9756 S Claremont Ave,60643,318000,1410,226,3,2,1,1956,Forced air: Gas,Central,Garage - Attached: Garage - Detached: Covered,Single Family,null,null,null
3300 N Lake Shore Dr APT 4E,60657,399000,2100,190,3,3,3,1926,null,null,Garage - Detached: Covered,Condo,null,9,1053
10508 S Kedzie Ave,60655,267000,750,356,4,2,2,1940,Forced air,Central,Garage - Detached: None: Covered,Single Family,null,null,null
2465 N Geneva Ter,60614,1195000,2774,431,3,3,2,1886,Gas,Central,Garage: Garage - Detached: Covered,Single Family,null,null,null
1801 S Michigan Ave UNIT 204,60616,424900,1500,283,2,3,2,1899,Gas,Central,Garage: Garage - Attached: Covered,Condo,null,7,508
